,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
115,DosPalos,36.98333333333333,-120.63333333333334,362.0,118.0,4950,1.35,1.35,0.0,3.4960000000000004,3.4960000000000004,0.0,0.0
116,Downey,33.93805555555555,-118.13083333333331,36.0,118.0,111772,12.568,12.408,0.16,32.551,32.137,0.414,1.27
117,Duarte,34.14027777777777,-117.96166666666667,156.0,512.0,21321,6.69,6.69,0.0,17.328,17.328,0.0,0.0
118,Dublin,37.702222222222225,-121.93583333333332,180.41670506912445,367.0,49890,14.912,14.908,0.004,38.622,38.611,0.011,0.03
119,Dunsmuir,41.22166666666667,-122.27305555555556,695.0,2280.0,1650,1.735,1.6980000000000002,0.037000000000000005,4.494,4.398,0.096,2.14
120,EastPaloAlto,37.46694444444445,-122.13972222222223,6.0,20.0,28155,2.612,2.505,0.107,6.766,6.488,0.278,4.11
121,Eastvale,33.963055555555556,-117.56388888888887,180.41670506912445,627.0,53668,11.445,11.405,0.04,29.644,29.539,0.104,0.35
122,ElCajon,32.79833333333333,-116.96,133.0,436.0,99478,14.433,14.433,0.0,37.381,37.381,0.0,0.0
123,ElCentro,32.8,-115.56666666666666,-12.0,-39.0,42598,11.099,11.081,0.018000000000000002,28.746,28.7,0.046,0.16
124,ElCerrito,37.91583333333333,-122.31166666666668,180.41670506912445,69.0,23549,3.688,3.688,0.0,9.551,9.551,0.0,0.0
125,ElkGrove,38.43833333333333,-121.38194444444444,14.0,45.0,153015,42.239,42.19,0.049,109.398,109.271,0.127,0.12
126,ElMonte,34.07333333333334,-118.0275,91.0,299.0,113475,9.648,9.562,0.086,24.988000000000003,24.766,0.222,0.89
127,ElSegundo,33.92138888888889,-118.40611111111113,35.0,115.0,16654,5.465,5.462999999999999,0.002,14.152,14.148,0.004,0.03
128,Emeryville,37.831388888888895,-122.2852777777778,7.0,23.0,10080,2.01,1.246,0.764,5.206,3.2260000000000004,1.979,38.02
129,Encinitas,33.044444444444444,-117.27166666666666,25.0,82.0,59518,19.99,18.812,1.178,51.772,48.722,3.05,5.89
130,Escalon,37.79166666666666,-120.99166666666666,36.0,118.0,7266,2.3680000000000003,2.301,0.067,6.134,5.959,0.175,2.85
131,Escondido,33.124722222222225,-117.08083333333332,197.0,646.0,143911,36.989,36.813,0.17600000000000002,95.801,95.345,0.456,0.48
132,Etna,41.45722222222223,-122.89694444444444,895.0,2936.0,737,0.759,0.758,0.001,1.965,1.962,0.002,0.12
133,Eureka,40.80194444444445,-124.16361111111112,180.41670506912445,39.0,27191,14.454,9.384,5.07,37.435,24.305,13.13,35.07
134,Exeter,36.294166666666655,-119.14277777777778,119.0,390.0,10334,2.463,2.463,0.0,6.379,6.379,0.0,0.0
135,Fairfax,37.98722222222222,-122.58888888888887,35.0,115.0,7441,2.204,2.204,0.0,5.707000000000002,5.707000000000002,0.0,0.0
136,Fairfield,38.257777777777775,-122.05416666666666,4.0,13.0,108321,37.635,34.39,3.245,97.475,94.839,2.635,5.65
137,Farmersville,36.30111111111111,-119.2075,109.0,358.0,10588,2.258,2.258,0.0,5.849,5.849,0.0,0.0
138,Ferndale,40.57666666666667,-124.26333333333334,17.0,56.0,1371,1.027,1.027,0.0,2.659,2.659,0.0,0.0
139,Fillmore,34.40138888888889,-118.9177777777778,139.0,456.0,15002,3.365,3.364,0.001,8.715,8.712,0.003,0.03
140,Firebaugh,36.85888888888889,-120.45611111111113,46.0,151.0,7549,3.519,3.462,0.057,9.114,8.967,0.14800000000000002,1.62
141,Folsom,38.67222222222222,-121.15777777777778,67.0,220.0,72203,24.301,21.945,2.356,62.93899999999999,56.838,6.101,9.69
142,Fontana,34.1,-117.46666666666668,377.0,1237.0,201812,42.432,42.432,3.0,109.899,109.899,6.0,3.0
143,FortBragg,39.44583333333333,-123.80527777777776,26.0,85.0,7273,2.8,2.7,0.0,7.2,7.1,0.1,3.0
144,FortJones,41.60722222222223,-122.84194444444445,842.0,2762.0,839,0.602,0.602,0.0,1.56,1.56,0.0,0.0
145,Fortuna,40.59805555555556,-124.15722222222223,20.0,66.0,11926,4.845,4.845,0.0,12.549,12.549,0.0,0.0
146,FosterCity,37.55138888888889,-122.26638888888887,2.0,7.0,30567,19.841,3.756,16.085,51.38800000000001,9.729,41.659,81.07
147,FountainValley,33.70861111111111,-117.95638888888891,10.0,33.0,55313,9.031,9.018,0.013,23.391,23.357,0.034,0.14
148,Fowler,36.63333333333333,-119.68333333333334,94.0,308.0,5570,2.531,2.531,0.0,6.556,6.556,0.0,0.0
149,Fremont,37.54833333333333,-121.98861111111113,71.0,218.0,220000,87.61,77.459,10.151,226.91,200.618,26.292,11.59
150,Fresno,36.75,-119.76666666666668,180.41670506912445,308.0,509039,112.308,111.957,0.35100000000000003,290.877,289.967,0.91,0.31
151,Fullerton,33.88,-117.92861111111112,50.0,164.0,135161,22.36,22.353,0.011,57.92100000000001,57.893,0.027000000000000003,0.05
152,Galt,38.26083333333333,-121.30305555555556,16.0,47.0,23647,5.944,5.931,0.013,15.397,15.362,0.035,0.23
153,Gardena,33.89361111111111,-118.30777777777777,15.0,49.0,58829,5.865,5.829,0.036000000000000004,15.191,15.097,0.094,0.62
154,GardenGrove,33.778888888888886,-117.96027777777779,27.0,89.0,170883,17.959,17.941,0.018000000000000002,46.51300000000001,46.467,0.046,0.1
155,Gilroy,37.01194444444445,-121.58,61.0,200.0,48821,16.156,16.146,0.01,41.845,41.819,0.027000000000000003,0.06
156,Glendale,34.17083333333333,-118.25,159.0,522.0,196021,30.583,30.453000000000007,0.13,79.212,78.874,0.338,0.43
157,Glendora,34.13083333333333,-117.85416666666666,236.0,774.0,50073,19.558,19.393,0.165,50.655,50.228,0.4270000000000001,0.84
158,Goleta,34.440555555555555,-119.81361111111113,180.41670506912445,20.0,29888,7.975,7.903,0.07200000000000001,20.654,20.467,0.187,0.9
159,Gonzales,36.50666666666667,-121.44444444444444,41.0,135.0,8187,1.959,1.921,0.038,5.075,4.976,0.098,1.93
160,GrandTerrace,34.03111111111111,-117.31666666666666,324.0,1063.0,12040,3.502,3.502,0.0,9.07,9.07,0.0,0.0
161,GrassValley,39.219166666666666,-121.05833333333334,735.0,2411.0,12860,4.743,4.743,0.0,12.285,12.285,0.0,0.0
162,Greenfield,36.32083333333335,-121.24388888888888,88.0,289.0,16330,2.135,2.135,0.0,5.53,5.53,0.0,0.0
163,Gridley,39.36388888888889,-121.69361111111112,29.0,95.0,6593,2.314,2.07,0.0,5.53,2.07,0.0,0.0
164,GroverBeach,35.12083333333334,-120.61944444444444,19.0,62.0,13156,2.314,2.31,0.004,5.995,5.983,0.011,0.19
165,Guadalupe,34.96555555555556,-120.57305555555556,26.0,85.0,7080,1.314,1.3090000000000002,0.005,3.405,3.391,0.014,0.4
166,Gustine,37.257777777777775,-120.99888888888887,30.0,98.0,5520,1.551,1.551,0.0,4.017,4.017,0.0,0.0
167,HalfMoonBay,37.458888888888886,-122.43694444444445,22.0,72.0,11324,6.444,6.424,0.02,16.692,16.639,0.053,0.32
168,Hanford,36.3275,-119.64555555555555,76.0,249.0,55283,16.589000000000002,16.589000000000002,0.0,42.966,42.966,0.0,0.0
169,HawaiianGardens,33.82861111111111,-118.07361111111109,10.0,33.0,14254,0.956,0.946,0.01,2.477,2.45,0.027000000000000003,1.09
170,Hawthorne,33.91722222222222,-118.34861111111113,22.0,72.0,84293,6.0920000000000005,6.081,0.011,15.779000000000002,15.75,0.029,0.18
171,Hayward,37.66888888888889,-122.08083333333332,180.41670506912445,105.0,149392,63.74800000000001,45.323,18.425,165.108,117.386,47.721,28.9
172,Healdsburg,38.6175,-122.86638888888888,32.0,105.0,11254,4.464,4.457,0.006999999999999999,11.561,11.543,0.018000000000000002,0.15
173,Hemet,33.74194444444444,-116.98305555555555,486.0,1594.0,78657,27.847,27.847,0.0,72.124,72.124,0.0,0.0
174,Hercules,38.017222222222216,-122.28861111111112,24.0,79.0,24060,18.179,6.205,11.974,47.084,16.072,31.012,65.87
175,HermosaBeach,33.866388888888885,-118.39972222222221,8.0,26.0,19506,1.4269999999999998,1.4269999999999998,0.0,3.695,3.695,0.0,0.0
176,Hesperia,34.412777777777784,-117.30611111111112,971.0,3186.0,90173,73.209,73.096,0.113,189.61,189.316,0.294,0.15
177,HiddenHills,34.1675,-118.66083333333334,328.0,1076.0,1856,1.689,1.689,0.0,4.373,4.373,0.0,0.0
178,Highland,34.11833333333333,-117.2025,399.0,1309.0,53014,18.89,18.755,0.135,48.924,48.575,0.349,0.71
179,Hillsborough,37.560277777777785,-122.35638888888887,98.0,322.0,10825,6.19,6.19,0.0,16.031,16.031,0.0,0.0
180,Hollister,36.84722222222222,-121.39833333333334,88.0,289.0,34928,7.29,7.29,0.0,18.88,18.88,0.0,0.0
181,Holtville,32.81111111111111,-115.38027777777779,-3.0,-10.0,5939,1.153,1.148,0.005,2.986,2.974,0.012,0.4
182,Hughson,37.603055555555564,-120.86694444444444,38.0,125.0,6640,1.815,1.815,0.0,4.7010000000000005,4.7010000000000005,0.0,0.0
183,HuntingtonBeach,33.692777777777785,-118.00027777777778,12.0,39.0,197575,31.882,26.748,5.134,82.57600000000002,69.278,13.298,16.1
184,HuntingtonPark,33.98333333333333,-118.21666666666668,52.0,171.0,58114,3.016,3.013,0.003,7.811,7.802,0.008,0.11
185,Huron,36.20277777777778,-120.10305555555556,114.0,374.0,6754,1.591,1.591,0.0,4.121,4.121,0.0,0.0
186,ImperialBeach,32.57833333333333,-117.1172222222222,21.0,69.0,26324,4.485,4.1610000000000005,0.324,11.616,10.778,0.838,7.22
187,Imperial,32.847500000000004,-115.56944444444444,-18.0,-59.0,14758,5.856,5.856,0.0,15.168,15.168,0.0,0.0
188,IndianWells,33.715833333333336,-116.34111111111109,27.0,89.0,4958,14.591,14.321,0.27,37.79,37.091,0.6990000000000001,1.85
189,Indio,33.72,-116.23194444444445,-4.0,-13.0,76036,29.189,29.181,0.008,75.6,75.579,0.021,0.03
190,Industry,34.016666666666666,-117.95,98.0,322.0,219,12.064,11.785,0.279,31.245,30.522,0.723,2.31
191,Inglewood,33.9575,-118.34611111111109,40.0,131.0,109673,9.093,9.068,0.025,23.549,23.486,0.064,0.27
192,Ione,38.35277777777778,-120.9327777777778,91.0,299.0,7918,4.78,4.765,0.015,12.379,12.341,0.039,0.31
193,Irvine,33.68416666666666,-117.7925,17.0,45.0,215529,66.454,66.10600000000001,0.348,172.115,171.21400000000003,0.901,0.52
194,Irwindale,34.11666666666667,-117.96666666666668,143.0,469.0,1422,9.613,8.826,0.787,24.897,22.859,2.0380000000000003,8.19
195,Isleton,38.16194444444445,-121.60916666666668,3.0,10.0,804,0.4920000000000001,0.44,0.052000000000000005,1.272,1.139,0.134,10.5
196,Jackson,38.3488888888889,-120.77416666666666,371.0,1217.0,4651,3.73,3.73,0.0,9.66,9.66,0.0,0.0
197,JurupaValley,33.99944444444444,-117.47527777777779,180.41670506912445,180.41670506912445,97496,43.5,43.3,0.2,112.7,112.1,0.6,0.0
198,Kerman,36.72361111111111,-120.06,67.0,220.0,17303,3.233,3.233,0.0,8.372,8.372,0.0,0.0
199,KingCity,36.21277777777778,-121.12611111111109,102.0,335.0,12874,3.984,3.845,0.139,10.317,9.958,0.36,3.49
200,Kingsburg,36.513888888888886,-119.55388888888888,92.0,302.0,11382,2.8280000000000003,2.8280000000000003,0.0,7.325,7.325,0.0,0.0
201,LaCaadaFlintridge,34.207721,-118.206979,180.41670506912445,180.41670506912445,20246,8.645,8.628,0.017,22.391,22.347,0.044,0.2
202,Lafayette,37.88583333333333,-122.11805555555556,97.5,320.0,24285,15.387,15.220999999999998,0.166,39.853,39.422,0.431,1.08
203,LagunaBeach,33.53138888888889,-117.76916666666666,6.0,20.0,22723,9.821,8.85,0.971,25.435,22.921,2.515,9.89
204,LagunaHills,33.599722222222226,-117.69944444444445,113.0,371.0,30344,6.695,6.67,0.025,17.34,17.276,0.064,0.37
205,LagunaNiguel,33.53194444444444,-117.7025,121.0,397.0,62979,14.885,14.833,0.052000000000000005,38.551,38.418,0.134,0.35
206,LagunaWoods,33.60916666666667,-117.73277777777778,116.0,381.0,18747,3.115,3.115,0.0,8.07,8.068999999999999,0.0,0.01
207,LaHabra,33.93194444444444,-117.94611111111112,91.0,299.0,60239,7.376,7.37,0.006,19.104,19.088,0.016,0.08
208,LaHabraHeights,33.96388888888889,-117.95277777777778,225.0,738.0,5325,6.162000000000001,6.159,0.003,15.958,15.95,0.006999999999999999,0.05
209,LakeElsinore,33.68138888888889,-117.34527777777777,395.0,1306.0,51821,41.687,36.208,5.479,107.97,93.779,14.19,13.14
210,LakeForest,33.641666666666666,-117.69083333333332,148.0,400.0,77264,17.902,17.816,0.086,46.36600000000001,46.143,0.223,0.48
211,Lakeport,39.04305555555555,-122.91583333333334,413.0,1355.0,4753,3.198,3.0580000000000003,0.14,8.283999999999999,7.92,0.364,4.39
212,Lakewood,33.847500000000004,-118.12,14.0,46.0,80048,9.466,9.415,0.051,24.517,24.384,0.133,0.54
213,LaMesa,32.771388888888886,-117.02277777777779,161.0,528.0,57065,9.116,9.076,0.04,23.612,23.507,0.104,0.44
214,LaMirada,33.90222222222222,-118.00972222222221,59.0,194.0,48527,7.857,7.84,0.017,20.351,20.306,0.045,0.22
215,Lancaster,34.68333333333333,-118.15,719.0,2359.0,156633,94.547,94.276,0.271,244.876,244.175,0.701,0.29
216,LaPalma,33.849444444444444,-118.04388888888887,14.0,46.0,15568,1.832,1.808,0.024,4.744,4.682,0.063,1.32
217,LaPuente,34.0325,-117.95527777777778,107.0,351.0,39816,3.48,3.479,0.001,9.012,9.01,0.002,0.02
218,LaQuinta,33.675277777777765,-116.2975,0.0,180.41670506912445,37467,35.551,35.117,0.434,92.078,90.954,1.124,1.22
219,Larkspur,37.934166666666655,-122.5352777777778,180.41670506912445,43.0,11926,3.2430000000000003,3.027,0.21600000000000005,8.399,7.84,0.56,6.66
220,Lathrop,37.81694444444445,-121.28861111111112,7.0,20.0,18023,23.033,21.931,1.102,59.655,56.8,2.854,4.79
221,LaVerne,34.114444444444445,-117.77138888888891,323.0,1060.0,31063,8.562000000000001,8.43,0.132,22.175,21.834,0.341,1.54
222,Lawndale,33.88666666666666,-118.35361111111109,18.0,59.0,32769,1.974,1.974,0.0,5.113,5.113,0.0,0.0
223,LemonGrove,32.741388888888885,-117.03166666666668,136.0,440.0,25320,3.88,3.88,0.0,10.05,10.05,0.0,0.0
224,Lemoore,36.30083333333333,-119.78277777777778,70.0,230.0,25281,8.517000000000001,8.517000000000001,0.0,22.058000000000003,22.058000000000003,0.0,0.0
225,Lincoln,38.88722222222222,-121.29611111111109,51.0,167.0,42819,20.13,20.106,0.024,52.137,52.075,0.062,0.12
226,Lindsay,36.2,-119.08333333333331,118.0,387.0,11768,2.61,2.61,0.0,6.759,6.759,0.0,0.0
227,LiveOakSutterCounty,39.27583333333333,-121.66,180.41670506912445,79.0,8392,1.869,1.869,0.0,4.839,4.839,0.0,0.0
228,Livermore,37.68194444444444,-121.76805555555555,180.41670506912445,495.0,83547,25.176,25.173,0.003,65.204,65.19800000000001,0.006999999999999999,0.01
229,Livingston,37.38694444444445,-120.72361111111113,40.0,131.0,13058,3.715,3.715,0.0,9.622,9.622,0.0,0.0
230,Lodi,38.12888888888889,-121.28083333333332,15.0,50.0,62134,13.825,13.611,0.214,35.805,35.25199999999999,0.5529999999999999,1.54
231,LomaLinda,34.04833333333333,-117.25055555555555,355.0,1165.0,23261,7.517,7.516,0.001,19.47,19.467,0.002,0.01
232,Lomita,33.79333333333333,-118.31611111111113,29.0,95.0,20256,1.911,1.911,0.0,4.949,4.949,0.0,0.0
233,Lompoc,34.64611111111111,-120.46027777777779,32.0,105.0,42434,11.675,11.597,0.078,30.237,30.037,0.201,0.66
234,LongBeach,33.76833333333333,-118.19555555555556,180.41670506912445,0.0,462257,51.437,50.293,1.144,133.22299999999998,130.259,2.964,2.22
235,Loomis,38.81638888888889,-121.19277777777779,123.0,404.0,6430,7.267,7.267,0.0,18.822,18.822,0.0,0.0
236,LosAlamitos,33.80222222222222,-118.06444444444445,7.0,23.0,11449,4.1160000000000005,4.05,0.066,10.659,10.489,0.17,1.6
237,LosAltos,37.368055555555564,-122.0975,180.41670506912445,157.0,28976,6.487,6.487,0.0,10.659,10.489,0.17,1.6
238,LosAltosHills,37.37138888888889,-122.1375,89.0,292.0,7922,8.802,8.802,0.0,22.797,22.797,0.0,0.0
239,LosAngeles,34.05,-118.25,71.0,2.0,3884307,503.0,469.0,34.0,1302.0,1214.0,88.0,6.7
240,LosBanos,37.05833333333333,-120.85,36.0,118.0,35972,10.117,9.993,0.124,26.203000000000007,25.882,0.321,1.22
241,LosGatos,37.236111111111114,-121.96166666666667,105.0,344.0,29413,11.16,11.08,0.08,28.903,28.697,0.206,0.71
242,Loyalton,39.676666666666655,-120.24305555555556,1509.0,4951.0,769,0.355,0.355,0.0,0.921,0.921,0.0,0.0
243,Lynwood,33.92472222222222,-118.20194444444445,28.0,92.0,69772,4.84,4.84,0.0,12.536,12.536,0.0,0.0
244,Madera,36.96138888888889,-120.06083333333332,83.0,271.0,61416,15.789,15.789,0.0,40.894,40.894,0.0,0.0
245,Malibu,34.03,-118.75,32.0,105.0,12645,19.828,19.785,0.043,51.354,51.242,0.113,0.22
246,MammothLakes,37.64861111111111,-118.97194444444445,2402.0,7880.0,8234,25.306,24.866,0.44,65.541,64.402,1.139,1.74
247,ManhattanBeach,33.888888888888886,-118.40527777777778,20.0,67.0,35135,3.941,3.937,0.004,10.208,10.197,0.01,0.1
248,Manteca,37.802777777777784,-121.22083333333332,11.0,38.0,71067,17.757,17.733,0.024,45.99100000000001,45.929,0.062,0.13
249,Maricopa,35.05888888888889,-119.40083333333334,269.0,883.0,1154,1.5019999999999998,1.5019999999999998,0.0,3.89,3.89,0.0,0.0
250,Marina,36.68444444444444,-121.8022222222222,13.0,43.0,29718,9.763,8.883,0.88,25.287,23.007,2.28,9.02
251,Martinez,38.01944444444445,-122.13416666666667,7.0,23.0,35824,13.135,12.130999999999998,1.004,34.019,31.42,2.6,7.64
252,Marysville,39.15,-121.58333333333331,19.0,62.0,12072,3.585,3.464,0.121,9.284,8.971,0.312,3.36
253,Maywood,33.98777777777778,-118.18666666666668,46.0,151.0,27395,1.178,1.178,0.0,3.052,3.052,0.0,0.0
254,McFarland,35.678055555555545,-119.22916666666669,108.0,354.0,13745,2.668,2.668,0.0,6.91,6.91,0.0,0.0
255,Mendota,36.75361111111111,-120.38166666666666,53.0,174.0,11014,3.281,3.278,0.003,8.499,8.491,0.008,0.1
256,Menifee,33.67833333333333,-117.16694444444445,434.0,1424.0,77519,46.607,46.466,0.141,120.711,120.345,0.365,0.3
257,MenloPark,37.45277777777778,-122.18333333333334,22.0,72.0,32026,17.415,9.79,7.625,45.105,25.355,19.75,43.79
258,Merced,37.3,-120.48333333333332,52.0,171.0,80793,23.316,23.316,0.0,60.389,60.389,0.0,0.0
259,Millbrae,37.60083333333333,-122.40138888888887,180.41670506912445,33.0,21536,3.259,3.247,0.012,8.439,8.408999999999999,0.03,0.36
260,MillValley,37.90611111111111,-122.545,180.41670506912445,79.0,13903,4.847,4.763,0.084,12.555,12.336,0.219,1.74
261,Milpitas,37.43472222222222,-121.895,5.0,16.0,70092,13.640999999999998,13.591,0.05,35.328,35.2,0.128,0.36
262,MissionViejo,33.61277777777778,-117.65611111111113,121.0,448.0,96346,18.123,17.739,0.384,46.93899999999999,45.944,0.995,2.12
263,Modesto,37.66138888888889,-120.99444444444444,27.0,89.0,201165,37.092,36.867,0.225,96.069,95.486,0.583,0.61
264,Monrovia,34.14416666666666,-118.00194444444445,174.0,571.0,36590,13.714,13.605,0.109,35.519,35.23699999999999,0.282,0.79
265,Montague,41.72722222222223,-122.52638888888887,774.0,2539.0,1443,1.793,1.778,0.015,4.644,4.605,0.039,0.85
266,Montclair,34.07083333333334,-117.6975,326.0,1066.0,36664,5.517,5.517,0.0,14.289,14.289,0.0,0.0
267,Montebello,34.01444444444444,-118.11444444444444,61.0,200.0,62500,8.373,8.333,0.04,21.685,21.581,0.104,0.48
268,Monterey,36.6,-121.9,8.0,26.0,27810,11.764,8.466000000000001,3.298,30.469,21.927,8.542,28.03
269,MontereyPark,34.049166666666665,-118.13555555555556,117.0,384.0,60269,7.733,7.6720000000000015,0.061,20.029,19.87,0.158,0.79
270,MonteSereno,37.23805555555556,-121.98944444444444,180.41670506912445,515.0,3341,1.615,1.615,0.0,4.184,4.184,0.0,0.0
271,Moorpark,34.28083333333333,-118.87333333333332,157.0,515.0,34421,12.799,12.579,0.22,33.149,32.58,0.569,1.72
272,Moraga,37.835,-122.1297222222222,180.41670506912445,180.41670506912445,16016,9.442,9.433,0.009000000000000001,24.455,24.432,0.023,0.09
273,MorenoValley,33.943055555555546,-117.22833333333334,497.0,1631.0,193365,51.475,51.275,0.2,133.319,132.8,0.519,0.39
274,MorganHill,37.130555555555546,-121.65444444444445,107.0,350.0,37882,12.882,12.882,0.0,33.363,33.363,0.0,0.0
275,MorroBay,35.37916666666667,-120.85333333333332,19.0,62.0,10234,10.322,5.303,5.019,26.734,13.734000000000002,13.0,48.63
276,MountainView,37.389444444444436,-122.08194444444445,32.0,105.0,74066,12.273,11.995,0.278,31.788,31.068,0.72,2.26
277,MountShasta,41.31444444444444,-122.31138888888887,1099.0,3606.0,3394,3.77,3.766,0.004,9.764,9.754,0.01,0.1
278,Murrieta,33.56944444444445,-117.2025,334.0,1096.0,103466,33.613,33.577,0.036000000000000004,87.05799999999998,86.964,0.094,0.11
279,Napa,38.30472222222222,-122.29888888888887,180.41670506912445,20.0,76915,18.147,17.839000000000006,0.308,47.0,46.203,0.797,1.69
280,NationalCity,32.678055555555545,-117.09916666666666,21.0,69.0,58582,9.116,7.277,1.839,23.609,18.847,4.762,20.17
281,Needles,34.83833333333334,-114.61111111111109,151.0,495.0,4844,31.275,30.808000000000003,0.467,81.002,79.793,1.209,1.49
282,NevadaCity,39.26138888888889,-121.01861111111113,755.0,2477.0,3068,2.192,2.188,0.004,5.6770000000000005,5.667000000000002,0.01,0.17
283,Newark,37.53333333333333,-122.03333333333332,180.41670506912445,20.0,43539,13.898,13.875,0.023,35.996,35.936,0.061,0.17
284,Newman,37.315,-121.0225,27.0,89.0,10224,2.102,2.102,0.0,5.444,5.444,0.0,0.0
285,NewportBeach,33.61666666666667,-117.8975,3.0,180.41670506912445,85186,52.978,23.805,29.173,137.211,61.654,75.557,55.07
286,Norco,33.931111111111115,-117.54861111111113,195.0,640.0,27063,14.278,13.962,0.316,36.98,36.161,0.8190000000000001,2.22
287,Norwalk,33.90694444444444,-118.08333333333331,28.0,92.0,105549,9.746,9.707,0.039,25.243,25.141,0.102,0.4
288,Novato,38.1075,-122.56972222222224,9.0,30.0,51904,27.957,27.44,0.517,72.407,71.068,1.339,1.85
289,Oakdale,37.769166666666656,-120.85694444444445,48.0,157.0,20675,6.095,6.045,0.05,15.784,15.655,0.129,0.81
290,Oakland,37.804444444444435,-122.27083333333331,180.41670506912445,43.0,406253,78.002,55.786,22.216,202.024,144.485,57.54,28.48
291,Oakley,37.9975,-121.7125,6.0,20.0,35432,16.155,15.853,0.302,41.842,41.059,0.7829999999999999,1.87
292,Oceanside,33.211666666666666,-117.32583333333334,20.0,66.0,183095,42.174,41.235,0.939,109.231,106.798,2.4330000000000003,2.23
293,Ojai,34.44916666666666,-119.24666666666668,227.0,745.0,7461,4.401,4.386,0.015,11.398,11.359000000000002,0.04,0.35
294,Ontario,34.052777777777784,-117.62777777777777,282.0,925.0,163924,50.006,49.941,0.065,129.515,129.345,0.17,0.13
295,Orange,33.803055555555545,-117.8325,59.0,195.0,136416,25.24,24.797,0.443,65.37100000000001,64.22399999999999,1.147,1.75
296,OrangeCove,36.624444444444435,-119.31361111111113,129.0,423.0,9078,1.912,1.912,0.0,4.9510000000000005,4.9510000000000005,0.0,0.0
297,Orinda,37.882777777777775,-122.17972222222221,151.0,495.0,18342,12.698,12.683,0.015,32.887,32.848,0.039,0.12
298,Orland,39.7475,-122.19638888888888,79.0,259.0,7291,2.971,2.971,0.0,7.6960000000000015,7.6960000000000015,0.0,0.0
299,Oroville,39.516666666666666,-121.55,51.0,167.0,15506,13.011,12.993,0.018000000000000002,33.701,33.653,0.048,0.14
300,Oxnard,34.19138888888889,-119.1825,16.0,52.0,203585,39.208,26.894,12.314,101.548,69.656,31.893,31.41
301,Pacifica,37.622777777777785,-122.48555555555555,25.0,82.0,37234,12.66,12.658,0.002,32.789,32.784,0.005,0.01
302,PacificGrove,36.617777777777775,-121.91666666666669,46.0,151.0,15295,4.003,2.865,1.138,10.366,7.419,2.946,28.42
303,Palmdale,34.58111111111111,-118.10055555555556,810.0,2657.0,152750,106.216,105.961,0.255,275.099,274.439,0.66,0.24
304,PalmDesert,33.72555555555556,-116.36944444444444,67.0,220.0,48445,27.014,26.81,0.204,69.96600000000001,69.437,0.529,0.76
305,PalmSprings,33.82388888888889,-116.53027777777778,146.0,440.0,44552,94.975,94.116,0.8590000000000001,245.984,243.761,2.224,0.9
306,PaloAlto,37.42916666666667,-122.13805555555555,9.0,30.0,64403,25.787,23.884,1.903,66.78699999999999,61.858,4.9289999999999985,7.38
307,PalosVerdesEstates,33.786944444444444,-118.39666666666668,64.0,210.0,13438,4.774,4.774,0.0,12.365,12.364,0.001,0.01
308,Paradise,39.759722222222216,-121.62138888888887,542.0,1778.0,26249,18.322,18.308,0.014,47.455,47.418,0.037000000000000005,0.08
309,Paramount,33.9,-118.16666666666669,21.0,69.0,54098,4.84,4.729,0.111,12.536,12.249,0.28600000000000003,2.28
310,Parlier,36.611666666666665,-119.52694444444445,105.0,344.0,14494,2.194,2.194,0.0,5.682,5.682,0.0,0.0
311,Pasadena,34.15611111111111,-118.13194444444444,263.0,863.0,137122,23.128,22.97,0.158,59.902,59.493,0.409,0.68
312,PasoRobles,35.64083333333333,-120.65388888888891,242.0,180.41670506912445,29792,19.425,19.12,0.305,50.312,49.522,0.79,1.57
313,Patterson,37.47305555555555,-121.13277777777779,31.0,102.0,20413,5.954,5.954,0.0,15.421,15.421,0.0,0.0
314,Perris,33.79666666666667,-117.22444444444444,443.0,1453.0,71326,31.503,31.393,0.11,81.594,81.308,0.28600000000000003,0.35
315,Petaluma,38.245833333333344,-122.63138888888888,9.0,30.0,58921,14.489,14.382,0.107,37.527,37.249,0.278,0.74
316,PicoRivera,33.98888888888889,-118.08916666666666,50.0,164.0,62942,8.882,8.296,0.586,23.003,21.485,1.518,6.6
317,Piedmont,37.81666666666667,-122.23333333333332,180.41670506912445,331.0,10667,1.6780000000000002,1.6780000000000002,0.0,4.345,4.345,0.0,0.0
318,Pinole,38.00444444444445,-122.29111111111109,31.0,23.0,18390,13.575,5.323,8.252,35.16,13.787,21.372,60.79
319,PismoBeach,35.14833333333333,-120.64805555555556,17.0,56.0,7655,13.476,3.599,9.877,34.904,9.322,25.582,73.29
320,Pittsburg,38.02805555555555,-121.88472222222221,8.0,26.0,63264,19.154,17.218,1.936,49.61,44.595,5.015,10.11
321,Placentia,33.8825,-117.855,83.0,272.0,50533,6.582000000000002,6.568,0.014,17.048,17.011,0.037000000000000005,0.22
322,Placerville,38.72972222222222,-120.79861111111113,180.41670506912445,1867.0,10389,5.813,5.812,0.001,15.054,15.052,0.002,0.01
323,PleasantHill,37.94805555555556,-122.0525,16.0,52.0,33152,7.072,7.072,0.0,18.315,18.315,0.0,0.0
324,Pleasanton,37.6625,-121.87472222222222,180.41670506912445,351.0,70285,24.266,24.113000000000003,0.153,62.847,62.452,0.395,0.63
