,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
443,UnionCity,37.58694444444445,-122.02583333333334,180.41670506912445,180.41670506912445,72155,19.0,19.0,0.0,12.232,12.095999999999998,0.136,1.11
444,Upland,34.1,-117.65,405.0,1328.0,73732,15.651,15.617,0.034,40.535,40.448,0.087,0.21
445,Vacaville,38.35388888888889,-121.9727777777778,53.0,174.0,92428,28.585,28.373,0.212,74.03399999999998,73.485,0.55,0.74
446,Vallejo,38.11305555555556,-122.23583333333332,21.0,60.0,115942,49.5,30.6,18.8,128.3,79.4,48.8,38.0
447,Ventura,34.275,-119.22777777777776,180.41670506912445,180.41670506912445,106433,32.095,21.655,10.44,83.124,56.085,27.039,32.53
448,Vernon,34.001111111111115,-118.21111111111112,62.0,203.0,112,5.157,4.973,0.184,13.357,12.88,0.476,3.57
449,Victorville,34.53611111111111,-117.28833333333333,832.0,2726.0,120336,73.741,73.178,0.563,190.988,189.529,1.459,0.76
450,VillaPark,33.816111111111105,-117.81111111111109,104.0,341.0,5812,2.0780000000000003,2.0780000000000003,0.0,5.382999999999999,5.382999999999999,0.0,0.0
451,Visalia,36.31666666666667,-119.3,101.0,331.0,124442,36.266,36.246,0.02,93.928,93.876,0.0512,0.05
452,Vista,33.19361111111111,-117.24111111111112,99.0,325.0,93834,18.678,18.678,0.0,48.377,48.377,0.0,0.0
453,Walnut,34.03333333333333,-117.86666666666666,171.0,561.0,29172,8.996,8.992,0.004,23.3,23.29,0.01,0.04
454,WalnutCreek,37.906388888888884,-122.065,180.41670506912445,131.0,64173,19.769,19.757,0.012,51.201,51.169,0.031,0.06
455,Wasco,35.594166666666666,-119.34083333333332,100.0,328.0,25545,9.426,9.426,0.0,24.413,24.413,0.0,0.0
456,Waterford,37.645,-120.7675,52.0,171.0,8456,2.369,2.3280000000000003,0.041,6.135,6.03,0.105,1.72
457,Watsonville,36.92,-121.76361111111113,9.0,29.0,51199,6.783,6.687,0.096,17.569000000000006,17.319000000000006,0.25,1.42
458,Weed,41.424166666666665,-122.38444444444444,1044.0,3425.0,2967,4.795,4.79,0.005,12.417,12.405,0.012,0.1
459,WestCovina,34.056666666666665,-117.91861111111113,110.0,362.0,106098,16.09,16.041,0.049,41.67100000000001,41.545,0.126,0.3
460,WestHollywood,34.08777777777778,-118.37222222222222,86.0,282.0,34650,1.887,1.887,0.0,4.888,4.888,0.0,0.0
461,WestlakeVillage,34.14194444444444,-118.81944444444444,268.0,880.0,8270,5.509,5.185,0.32,14.257,13.43,0.828,5.8
462,Westminster,33.75138888888889,-117.99388888888888,12.0,39.0,89701,10.049,10.049,0.0,26.027,26.027,0.0,0.0
463,Westmorland,33.03722222222222,-115.62138888888887,180.41670506912445,-164.0,2225,0.59,0.59,0.0,1.529,1.529,0.0,0.0
464,WestSacramento,38.58055555555556,-121.53027777777778,6.0,20.0,48744,22.846,21.425,1.421,59.172,55.49100000000001,3.681,6.22
465,Wheatland,39.01,-121.42305555555555,28.0,92.0,3456,1.486,1.479,0.006999999999999999,3.848,3.831,0.017,0.45
466,Whittier,33.96555555555556,-118.02444444444444,112.0,367.0,85331,14.7,14.7,0.016,37.0,37.0,0.041,0.11
